Timestamp	Grid Power (W)	L1 Grid Power (W)	L2 Grid Power (W)	Grid House Power (W)	L1 Grid House Power (W)	L2 Grid House Power (W)	Grid Addition Power (W)	L1 Grid Addition Power (W)	L2 Grid Addition Power (W)	Grid Voltage	L1 Grid Voltage	L2 Grid Voltage	L1 Grid Power Factor	L2 Grid Power Factor	Grid Frequency (Hz)	Total Inverter Power (W)	L1 Total Inverter Power (W)	L2 Total Inverter Power (W)	Inverter Input Power (W)	L1 Inverter Input Power (W)	L2 Inverter Input Power (W)	Inverter Output Power (W)	L1 Inverter Output Power (W)	L2 Inverter Output Power (W)	Inverter Input Power Factor	L1 Inverter Input Power Factor	L2 Inverter Input Power Factor	Inverter Output Power Factor	L1 Inverter Output Power Factor	L2 Inverter Output Power Factor	ESS Power Limit (W)	Inverter Efficiency (%)	Inverter State	Active Warnings and Alarms	Inverter Temperature (°C)	Total AC Consumption (W)	L1 Total AC Consumption (W)	L2 Total AC Consumption (W)	AC Critical Loads (W)	L1 AC Critical Loads (W)	L2 AC Critical Loads (W)	AC House Consumption (W)	L1 AC House Consumption (W)	L2 AC House Consumption (W)	AC Addition Consumption (W)	L1 AC Addition Consumption (W)	L2 AC Addition Consumption (W)	AC Battery Chargers (W)	L1 AC Battery Chargers (W)	L2 AC Battery Chargers (W)	PV Power (W)	250/70 PV Power (W)	250/100 PV Power (W)	PV DC Current (A)	250/70 PV DC Current (A)	250/100 PV DC Current (A)	PV Yield Today (kWh)	250/70 PV Yield Today (kWh)	250/100 PV Yield Today (kWh)	PV Efficiency (%)	250/70 PV Efficiency (%)	250/100 PV Efficiency (%)	PV Power Lost (W)	250/70 PV Power Lost (W)	250/100 PV Power Lost (W)	PV Net Efficiency (%)	250/70 PV Voltage (V)	250/100 PV Voltage (V)	250/70 PV Current (A)	250/100 PV Current (A)	250/70 PV MPPT Mode	250/100 PV MPPT Mode	Shunt SoC (%)	BMS SoC (%)	Shunt Voltage (V)	BMS Voltage (V)	Min Cell Voltage (V)	Max Cell Voltage (V)	Battery Temperature (°C)	Battery Status	Shunt Charge Current (A)	Shunt Power (W)	Battery Cable Power Loss (W)	Chargeverter Power (W)	Chargeverter Current (A)	Chargeverter Temperature (°C)	
2025-08-12 12:34:20	5832	3296	2536	-3212	-1040	-2172	8972	4292	4680	242.7	121.1	121.6	-0.74	-0.93	59.97	8020	4020	4000	-6460	-2680	-3780	1560	1340	220	0.97	0.97	0.98	1.00	1.00	0.90	8000	87.3	Bulk	None	29.6	13769	7257	6512	1560	1340	220	3237	1625	1612	8972	4292	4680	0	0	0	9179.7	3766.3	5413.3	169.9	70.0	99.9	11.8	4.8	7.0	98.0	98.4	97.7	3.0	1.0	2.0	85.5	147.7	149.5	25.5	36.2	Limited	Limited	62.3	61.0	52.94	52.96	3.31	3.31	26.0	Normal (3)	-4.2	-222	0	0.0	0.0	26.5	
2025-08-12 12:34:21	5860	3312	2548	-3144	-996	-2148	8972	4292	4680	243.2	121.3	121.9	-0.72	-0.93	59.97	7950	3980	3970	-6380	-2630	-3750	1570	1350	220	0.94	0.92	0.96	1.00	1.00	1.00	8000	86.3	Bulk	None	29.7	13798	7299	6499	1570	1350	220	3256	1657	1599	8972	4292	4680	0	0	0	8976.5	3627.0	5349.5	166.8	68.9	97.9	11.8	4.8	7.0	98.3	100.0	96.7	13.0	6.0	7.0	84.8	147.4	149.0	24.6	35.9	Limited	Limited	62.3	61.0	52.89	52.96	3.31	3.31	26.0	Normal (3)	-10.0	-529	1	0.0	0.0	26.5	
2025-08-12 12:34:22	5932	3368	2564	-3032	-940	-2092	8976	4304	4672	243.0	121.3	121.7	-0.71	-0.93	59.97	7880	3950	3930	-6320	-2600	-3720	1560	1350	210	0.96	0.96	0.97	0.97	0.99	0.86	8000	88.0	Bulk	None	29.7	13812	7321	6491	1560	1350	210	3276	1667	1609	8976	4304	4672	0	0	0	8401.7	3305.6	5096.1	160.4	62.5	97.9	11.8	4.8	7.0	100.0	100.0	100.0	15.0	10.0	5.0	88.0	145.6	149.0	22.7	34.2	Limited	Limited	62.3	61.0	52.77	52.94	3.31	3.31	26.0	Normal (3)	-23.8	-1256	4	0.0	0.0	26.5	
2025-08-12 12:34:23	5916	3340	2576	-3064	-960	-2104	8984	4304	4680	243.2	121.4	121.8	-0.70	-0.93	59.97	7860	3940	3920	-6310	-2590	-3720	1550	1350	200	0.95	0.94	0.97	1.00	1.00	0.96	7720	86.7	Bulk	None	29.7	13811	7305	6506	1550	1350	200	3277	1651	1626	8984	4304	4680	0	0	0	7416.0	2781.3	4634.6	150.3	62.5	87.8	11.8	4.8	7.0	100.0	100.0	99.7	23.0	20.0	3.0	86.7	145.6	147.6	19.1	31.4	Limited	Limited	62.3	61.0	52.61	52.94	3.31	3.31	26.0	Normal (3)	-45.3	-2383	15	0.0	0.0	26.5	
2025-08-12 12:34:24	6164	3508	2656	-2960	-872	-2088	8984	4296	4688	243.2	121.4	121.8	-0.70	-0.93	59.97	7830	3920	3910	-6270	-2570	-3700	1560	1350	210	0.96	0.95	0.96	0.99	0.99	1.00	7220	87.3	Bulk	None	29.7	13790	7278	6512	1560	1350	210	3246	1632	1614	8984	4296	4688	0	0	0	6488.0	2337.6	4150.4	123.6	48.5	75.1	11.8	4.8	7.0	100.0	100.0	94.9	14.0	9.0	5.0	87.3	143.4	146.1	16.3	28.4	Active	Active	62.3	61.0	52.52	52.78	3.30	3.31	26.0	Normal (3)	-59.9	-3146	16	0.0	0.0	26.5	
2025-08-12 12:34:25	7352	4032	3320	-2616	-724	-1892	8992	4296	4696	242.8	121.2	121.6	-0.61	-0.91	59.97	7590	3770	3820	-6040	-2430	-3610	1550	1340	210	0.99	0.99	0.98	0.95	0.98	0.78	5570	85.8	Bulk	None	29.7	13942	7337	6605	1550	1340	210	3400	1701	1699	8992	4296	4696	0	0	0	6119.0	2231.7	3887.3	116.6	41.5	75.1	11.8	4.8	7.0	100.0	97.7	100.0	10.0	1.0	9.0	85.8	145.9	146.1	15.3	26.6	Active	Active	62.3	61.0	52.57	52.78	3.30	3.31	26.0	Normal (3)	-54.5	-2865	11	0.0	0.0	26.6	
2025-08-12 12:34:26	7876	4312	3564	-1152	0	-1152	8952	4276	4676	242.6	121.0	121.6	0.03	-0.79	59.97	6560	3290	3270	-4980	-1930	-3050	1580	1360	220	1.00	1.00	1.00	0.99	1.00	0.95	5400	78.1	Bulk	None	29.7	14293	7522	6771	1580	1360	220	3761	1886	1875	8952	4276	4676	0	0	0	6168.1	2319.2	3848.9	113.0	41.5	71.5	11.8	4.8	7.0	96.2	94.0	97.5	31.0	10.0	21.0	75.1	145.9	152.1	15.9	25.3	Active	Active	62.3	61.0	52.78	52.78	3.30	3.31	26.0	Normal (3)	-29.7	-1568	0	0.0	0.0	26.6	
2025-08-12 12:34:28	8200	4492	3708	-816	172	-988	8940	4272	4668	242.6	121.0	121.6	0.17	-0.74	59.97	5910	2950	2960	-4320	-1580	-2740	1590	1370	220	0.94	0.90	0.96	1.00	1.00	0.82	5560	88.9	Bulk	None	29.7	13951	7329	6622	1590	1370	220	3421	1687	1734	8940	4272	4668	0	0	0	6267.7	2373.5	3894.2	115.9	43.3	72.6	11.8	4.8	7.0	97.5	96.0	98.4	17.0	10.0	7.0	86.7	151.2	158.3	15.7	24.6	Active	Active	62.3	61.0	52.87	52.77	3.30	3.30	26.0	Normal (3)	-9.3	-492	1	0.0	0.0	26.5	
2025-08-12 12:34:29	8260	4496	3764	-712	208	-920	8988	4308	4680	242.6	121.0	121.6	0.20	-0.74	59.97	5590	2800	2790	-4000	-1420	-2580	1590	1380	210	0.91	0.84	0.95	1.00	1.00	0.90	5580	90.0	Bulk	None	29.7	13897	7348	6549	1590	1380	210	3319	1660	1659	8988	4308	4680	0	0	0	6487.4	2354.2	4133.2	119.9	43.7	76.2	11.8	4.8	7.0	97.7	97.9	97.6	9.0	7.0	2.0	88.0	152.9	154.8	15.4	26.7	Active	Active	62.3	61.0	52.92	52.77	3.30	3.30	26.0	Normal (3)	-1.2	-64	0	0.0	0.0	26.5	
2025-08-12 12:34:30	8208	4480	3728	-692	212	-904	8972	4300	4672	242.7	121.1	121.6	0.21	-0.74	59.97	5580	2800	2780	-3990	-1420	-2570	1590	1380	210	0.92	0.87	0.95	1.00	1.00	0.78	5770	88.9	Bulk	None	29.8	13842	7301	6541	1590	1380	210	3280	1621	1659	8972	4300	4672	0	0	0	6569.9	2476.8	4093.1	119.1	43.9	75.2	11.8	4.8	7.0	96.0	93.6	97.4	10.0	5.0	5.0	85.3	150.1	152.2	16.5	26.9	Active	Active	62.3	61.0	52.94	52.77	3.30	3.30	26.0	Normal (3)	1.7	90	0	0.0	0.0	26.5	
2025-08-12 12:34:31	8312	4524	3788	-720	192	-912	9024	4320	4704	242.8	121.2	121.6	0.21	-0.74	59.97	5580	2800	2780	-3990	-1420	-2570	1590	1380	210	0.92	0.87	0.95	1.00	1.00	0.90	5740	90.6	Bulk	None	29.8	13857	7316	6541	1590	1380	210	3243	1616	1627	9024	4320	4704	0	0	0	6782.1	2673.8	4108.3	123.6	48.4	75.2	11.8	4.8	7.0	96.5	95.7	97.0	8.0	6.0	2.0	87.5	140.0	152.2	19.1	27.0	Active	Active	62.3	61.0	53.02	52.80	3.30	3.31	26.0	Normal (3)	9.7	514	2	0.0	0.0	26.5	
2025-08-12 12:34:32	8156	4428	3728	-816	148	-964	9012	4304	4708	243.1	121.4	121.7	0.18	-0.74	59.97	5620	2820	2800	-4030	-1450	-2580	1590	1370	220	0.90	0.85	0.93	1.00	1.00	0.82	5960	89.4	Bulk	None	29.8	13906	7326	6580	1590	1370	220	3304	1652	1652	9012	4304	4708	0	0	0	7158.7	2925.8	4232.9	126.0	48.4	77.6	11.8	4.8	7.0	93.2	87.5	97.2	10.0	8.0	2.0	83.4	140.0	145.5	20.9	29.1	Active	Active	62.3	61.0	53.06	52.80	3.30	3.31	26.0	Normal (3)	16.1	854	4	0.0	0.0	26.5	
